review,date,score,place_url,name,description,address,phone,web
"Very pleasant to have a drink on the pontoon terrace, small downside in a glass of Spritz, very little aperol, just enough for color for the capiirina, the catch cha was not very present, a shame for an establishment of this quality",a year ago,4,https://www.google.com/maps/place/Bar+Longhi/data=!4m7!3m6!1s0x477eb1d10f8161af:0x748f2dc534175abf!8m2!3d45.4316096!4d12.3331706!16s%2Fg%2F1tf649ww!19sChIJr2GBD9GxfkcRv1oXNMUtj3Q?authuser=0&hl=en&rclk=1,Bar Longhi,"Stylish, old-world hotel cocktail bar with views of the Grand Canal & city landmarks.","Campiello Traghetto, 2467, 30124 Venezia VE, Italy",+39 041 794611,http://www.thegrittipalace.com/longhi-bar-venice
"Had a delicious spritz with complementary almonds, hazelnuts and chips. Having said that, the spritzs were $27 euro a pop, so be prepared, but totally worth it for a thirsty smurf.",10 months ago,5,https://www.google.com/maps/place/Bar+Longhi/data=!4m7!3m6!1s0x477eb1d10f8161af:0x748f2dc534175abf!8m2!3d45.4316096!4d12.3331706!16s%2Fg%2F1tf649ww!19sChIJr2GBD9GxfkcRv1oXNMUtj3Q?authuser=0&hl=en&rclk=1,Bar Longhi,"Stylish, old-world hotel cocktail bar with views of the Grand Canal & city landmarks.","Campiello Traghetto, 2467, 30124 Venezia VE, Italy",+39 041 794611,http://www.thegrittipalace.com/longhi-bar-venice
Amazing place to try wine. super reasonable prices great ambience and super staff. I am not a fan of aperol spritz but theirs is so good I had to have a glass :) This i a Venise bucket list wine bar!,a year ago,5,https://www.google.com/maps/place/R%C3%A9tro+Wine+Bar/data=!4m7!3m6!1s0x477eb13dff5a76f1:0xab4b3e8c89b6a74a!8m2!3d45.4407243!4d12.3370359!16s%2Fg%2F11h79v4tb3!19sChIJ8XZa_z2xfkcRSqe2iYw-S6s?authuser=0&hl=en&rclk=1,Cocktail Bar Rétro,,"Campo drio la Chiesa, 4541, 30121 Venezia VE, Italy",+39 041 268 6481,https://www.retrovenezia.it/
"Very cool location to enjoy a delicious spritz (7€) Free chips included.
White wine chardonnay wasn’t good, it makes me realized how awesome are the french wines",6 months ago,5,https://www.google.com/maps/place/R%C3%A9tro+Wine+Bar/data=!4m7!3m6!1s0x477eb13dff5a76f1:0xab4b3e8c89b6a74a!8m2!3d45.4407243!4d12.3370359!16s%2Fg%2F11h79v4tb3!19sChIJ8XZa_z2xfkcRSqe2iYw-S6s?authuser=0&hl=en&rclk=1,Cocktail Bar Rétro,,"Campo drio la Chiesa, 4541, 30121 Venezia VE, Italy",+39 041 268 6481,https://www.retrovenezia.it/
Pub guiri donde beben los Erasmus. Para tomar unas birras o spritz rodeado de una ambiente inglés.,a year ago,4,https://www.google.com/maps/place/The+Irish+Pub+Venezia/data=!4m7!3m6!1s0x477eb1dcc684ba71:0x494377ec94f7cc46!8m2!3d45.4415418!4d12.334141!16s%2Fg%2F1tdyk196!19sChIJcbqExtyxfkcRRsz3lOx3Q0k?authuser=0&hl=en&rclk=1,The Irish Pub Venezia,"Snug Irish bar serving whiskey, Guinness & sandwiches, with live football on TV & outdoor tables.","Corte dei Pali, 3847, 30121 Venezia VE, Italy",+39 041 639 6692,http://www.theirishpubvenezia.com/
Great place aperol 5 euros and open until 2am,3 months ago,5,https://www.google.com/maps/place/The+Irish+Pub+Venezia/data=!4m7!3m6!1s0x477eb1dcc684ba71:0x494377ec94f7cc46!8m2!3d45.4415418!4d12.334141!16s%2Fg%2F1tdyk196!19sChIJcbqExtyxfkcRRsz3lOx3Q0k?authuser=0&hl=en&rclk=1,The Irish Pub Venezia,"Snug Irish bar serving whiskey, Guinness & sandwiches, with live football on TV & outdoor tables.","Corte dei Pali, 3847, 30121 Venezia VE, Italy",+39 041 639 6692,http://www.theirishpubvenezia.com/
"A lovely evening around a spritz and some delicious cichetti with very friendly and attentive staff, I recommend, it's good to find a simple and inexpensive place in Venice where you're not afraid of being fooled like in some other restaurants in Venice 😅 and 4 the Spritz 🙂",2 years ago,5,https://www.google.com/maps/place/The+Irish+Pub+Venezia/data=!4m7!3m6!1s0x477eb1dcc684ba71:0x494377ec94f7cc46!8m2!3d45.4415418!4d12.334141!16s%2Fg%2F1tdyk196!19sChIJcbqExtyxfkcRRsz3lOx3Q0k?authuser=0&hl=en&rclk=1,The Irish Pub Venezia,"Snug Irish bar serving whiskey, Guinness & sandwiches, with live football on TV & outdoor tables.","Corte dei Pali, 3847, 30121 Venezia VE, Italy",+39 041 639 6692,http://www.theirishpubvenezia.com/
I asked the owner for a spritz who told us they didn't do any. We had only drank a couple of spritzes.,11 months ago,1,https://www.google.com/maps/place/The+Irish+Pub+Venezia/data=!4m7!3m6!1s0x477eb1dcc684ba71:0x494377ec94f7cc46!8m2!3d45.4415418!4d12.334141!16s%2Fg%2F1tdyk196!19sChIJcbqExtyxfkcRRsz3lOx3Q0k?authuser=0&hl=en&rclk=1,The Irish Pub Venezia,"Snug Irish bar serving whiskey, Guinness & sandwiches, with live football on TV & outdoor tables.","Corte dei Pali, 3847, 30121 Venezia VE, Italy",+39 041 639 6692,http://www.theirishpubvenezia.com/
Warm and welcoming pub with nice music in the background. Good Guinness and spritz.  The guys who served us were very nice and quick.  Good sandwiches. Excellent value for money.  Advised!,2 years ago,5,https://www.google.com/maps/place/The+Irish+Pub+Venezia/data=!4m7!3m6!1s0x477eb1dcc684ba71:0x494377ec94f7cc46!8m2!3d45.4415418!4d12.334141!16s%2Fg%2F1tdyk196!19sChIJcbqExtyxfkcRRsz3lOx3Q0k?authuser=0&hl=en&rclk=1,The Irish Pub Venezia,"Snug Irish bar serving whiskey, Guinness & sandwiches, with live football on TV & outdoor tables.","Corte dei Pali, 3847, 30121 Venezia VE, Italy",+39 041 639 6692,http://www.theirishpubvenezia.com/
Very kind and excellent spritz served with chips,2 years ago,4,https://www.google.com/maps/place/The+Irish+Pub+Venezia/data=!4m7!3m6!1s0x477eb1dcc684ba71:0x494377ec94f7cc46!8m2!3d45.4415418!4d12.334141!16s%2Fg%2F1tdyk196!19sChIJcbqExtyxfkcRRsz3lOx3Q0k?authuser=0&hl=en&rclk=1,The Irish Pub Venezia,"Snug Irish bar serving whiskey, Guinness & sandwiches, with live football on TV & outdoor tables.","Corte dei Pali, 3847, 30121 Venezia VE, Italy",+39 041 639 6692,http://www.theirishpubvenezia.com/
